InvoiceDate,Quantity,Rolling_7D
2009-12-01,48,
2009-12-02,435,
2009-12-03,56,
2009-12-04,144,
2009-12-05,48,
2009-12-06,0,
2009-12-07,96,118.14285714285714
2009-12-08,576,193.57142857142858
2009-12-09,0,131.42857142857142
2009-12-10,384,178.28571428571428
2009-12-11,48,164.57142857142858
2009-12-12,0,157.71428571428572
2009-12-13,100,172.0
2009-12-14,240,192.57142857142858
2009-12-15,144,130.85714285714286
2009-12-16,96,144.57142857142858
2009-12-17,144,110.28571428571429
2009-12-18,48,110.28571428571429
2009-12-19,0,110.28571428571429
2009-12-20,0,96.0
2009-12-21,48,68.57142857142857
2009-12-22,0,48.0
2009-12-23,0,34.285714285714285
2009-12-24,0,13.714285714285714
2009-12-25,0,6.857142857142857
2009-12-26,0,6.857142857142857
2009-12-27,0,6.857142857142857
2009-12-28,0,0.0
2009-12-29,0,0.0
2009-12-30,0,0.0
2009-12-31,0,0.0
2010-01-01,0,0.0
2010-01-02,0,0.0
2010-01-03,0,0.0
2010-01-04,0,0.0
2010-01-05,288,41.142857142857146
2010-01-06,0,41.142857142857146
2010-01-07,0,41.142857142857146
2010-01-08,48,48.0
2010-01-09,0,48.0
2010-01-10,0,48.0
2010-01-11,0,48.0
2010-01-12,288,48.0
2010-01-13,0,48.0
2010-01-14,0,48.0
2010-01-15,48,48.0
2010-01-16,0,48.0
2010-01-17,48,54.857142857142854
2010-01-18,0,54.857142857142854
2010-01-19,0,13.714285714285714
2010-01-20,3,14.142857142857142
2010-01-21,0,14.142857142857142
2010-01-22,192,34.714285714285715
2010-01-23,0,34.714285714285715
2010-01-24,96,41.57142857142857
2010-01-25,336,89.57142857142857
2010-01-26,0,89.57142857142857
2010-01-27,0,89.14285714285714
2010-01-28,48,96.0
2010-01-29,0,68.57142857142857
2010-01-30,0,68.57142857142857
2010-01-31,48,61.714285714285715
2010-02-01,144,34.285714285714285
2010-02-02,96,48.0
2010-02-03,96,61.714285714285715
2010-02-04,48,61.714285714285715
2010-02-05,96,75.42857142857143
2010-02-06,0,75.42857142857143
2010-02-07,96,82.28571428571429
2010-02-08,48,68.57142857142857
2010-02-09,48,61.714285714285715
2010-02-10,48,54.857142857142854
2010-02-11,48,54.857142857142854
2010-02-12,0,41.142857142857146
2010-02-13,0,41.142857142857146
2010-02-14,48,34.285714285714285
2010-02-15,96,41.142857142857146
2010-02-16,432,96.0
2010-02-17,144,109.71428571428571
2010-02-18,240,137.14285714285714
2010-02-19,48,144.0
2010-02-20,0,144.0
2010-02-21,48,144.0
2010-02-22,192,157.71428571428572
2010-02-23,48,102.85714285714286
2010-02-24,0,82.28571428571429
2010-02-25,48,54.857142857142854
2010-02-26,240,82.28571428571429
2010-02-27,0,82.28571428571429
2010-02-28,48,82.28571428571429
2010-03-01,336,102.85714285714286
2010-03-02,48,102.85714285714286
2010-03-03,144,123.42857142857143
2010-03-04,288,157.71428571428572
2010-03-05,96,137.14285714285714
2010-03-06,0,137.14285714285714
2010-03-07,96,144.0
2010-03-08,144,116.57142857142857
2010-03-09,144,130.28571428571428
2010-03-10,192,137.14285714285714
2010-03-11,0,96.0
2010-03-12,0,82.28571428571429
2010-03-13,0,82.28571428571429
2010-03-14,48,75.42857142857143
2010-03-15,2016,342.85714285714283
2010-03-16,48,329.14285714285717
2010-03-17,96,315.42857142857144
2010-03-18,384,370.2857142857143
2010-03-19,0,370.2857142857143
2010-03-20,0,370.2857142857143
2010-03-21,48,370.2857142857143
2010-03-22,96,96.0
2010-03-23,96,102.85714285714286
2010-03-24,0,89.14285714285714
2010-03-25,0,34.285714285714285
2010-03-26,48,41.142857142857146
2010-03-27,0,41.142857142857146
2010-03-28,147,55.285714285714285
2010-03-29,48,48.42857142857143
2010-03-30,0,34.714285714285715
2010-03-31,0,34.714285714285715
2010-04-01,144,55.285714285714285
2010-04-02,0,48.42857142857143
2010-04-03,0,48.42857142857143
2010-04-04,0,27.428571428571427
2010-04-05,0,20.571428571428573
2010-04-06,1200,192.0
2010-04-07,48,198.85714285714286
2010-04-08,49,185.28571428571428
2010-04-09,48,192.14285714285714
2010-04-10,0,192.14285714285714
2010-04-11,48,199.0
2010-04-12,95,212.57142857142858
2010-04-13,0,41.142857142857146
2010-04-14,144,54.857142857142854
