Date,Forecast_Demand,Lower_Bound,Upper_Bound
2011-11-10,478.2005597300172,-41.42822535412683,979.993822646426
2011-11-11,336.17573421619903,-130.8693074210429,814.9720835502327
2011-11-12,172.48383957212013,-299.72483567619605,653.8526153685447
2011-11-13,230.11314290526104,-273.74338353738165,685.7141707469168
2011-11-14,292.6755542262311,-161.1436922798307,766.1037915023337
2011-11-15,325.1100438312864,-117.9897162280536,819.9110943881767
2011-11-16,279.1574145269345,-195.11865668594317,773.5973835194204
2011-11-17,402.614705057546,-54.90690328833807,923.9119369447868
2011-11-18,258.5311036776713,-238.742735200255,764.8133132786336
2011-11-19,94.03420717457416,-416.5602345277139,569.1795050639788
2011-11-20,152.09175758460992,-310.97930302973907,647.0145536736102
2011-11-21,216.26757332674708,-236.29526614386864,703.7266140948786
2011-11-22,251.42597744671804,-219.0893710758078,738.9916470991174
2011-11-23,209.20823416281087,-313.66270592961297,662.0544111471589
2011-11-24,337.28923600808776,-158.0815913119281,787.6502129253571
2011-11-25,198.5762703770626,-234.8502865368748,658.1845646926021
2011-11-26,40.03863568284184,-434.30060362951343,523.7006779536557
2011-11-27,104.47316081181404,-403.7540295672264,567.4348427105012
2011-11-28,175.26425443401973,-347.82431332707154,614.4424900064113
2011-11-29,217.0926873253977,-290.4480816254948,695.74727593205
2011-11-30,181.41651238500756,-337.461427866897,664.8558099906045
2011-12-01,315.7322538921388,-190.91238283621723,799.5114670993848
2011-12-02,182.77808256724745,-305.0852773453263,637.9380870831542
2011-12-03,29.36763581243074,-447.2962393267389,493.6725690925858
2011-12-04,98.15943022528896,-331.30284012920106,600.8682196570925
2011-12-05,172.4203933992464,-325.3319277927424,644.6548386649507
2011-12-06,216.73762822632904,-285.70133117426195,683.6003996372473
2011-12-07,182.5017364944924,-307.8447561494617,643.7857509717714
2011-12-08,317.1697695117842,-157.91288806654018,783.0905456151161
2011-12-09,183.46947437245612,-313.29460850857174,647.4967539621605
